X,Y,Z,Activity
-8.720266,1.724414,-3.882327,Sit
-8.768167,1.678909,-3.887117,Sit
-8.835227,1.683699,-3.903882,Sit
-8.816068,1.731599,-3.930227,Sit
-8.705896,1.714834,-3.942202,Sit
-8.626861,1.666934,-3.908672,Sit
-8.655601,1.664539,-3.901487,Sit
-8.744217,1.712439,-3.942202,Sit
-8.792117,1.78908,-3.944597,Sit
-8.753797,1.7795,-3.918252,Sit
-8.660391,1.762734,-3.937412,Sit
-8.650811,1.781895,-3.946992,Sit
-8.650811,1.81782,-3.978128,Sit
-8.693921,1.8274,-3.975733,Sit
-8.641231,1.77471,-3.994893,Sit
-8.58854,1.695674,-3.997288,Sit
-8.598121,1.683699,-3.951782,Sit
-8.677156,1.745969,-3.932622,Sit
-8.725057,1.757944,-3.973338,Sit
-8.696317,1.741179,-4.014053,Sit
-8.657996,1.705254,-3.961362,Sit
-8.631651,1.688489,-3.899092,Sit
-8.684341,1.712439,-3.865562,Sit
-8.799302,1.753154,-3.877537,Sit
-8.854387,1.80345,-3.875142,Sit
-8.758587,1.78429,-3.877537,Sit
-8.636441,1.695674,-3.913462,Sit
-8.672366,1.700464,-3.891907,Sit
-8.741821,1.710044,-3.875142,Sit
-8.760982,1.767524,-3.884722,Sit
-8.727451,1.786685,-3.920647,Sit
-8.643626,1.710044,-3.927832,Sit
-8.612491,1.710044,-3.923042,Sit
-8.662786,1.829795,-3.877537,Sit
-8.746612,1.88488,-3.863167,Sit
-8.739427,1.863325,-3.884722,Sit
-8.689131,1.815425,-3.908672,Sit
-8.641231,1.801055,-3.848797,Sit
-8.660391,1.76992,-3.760181,Sit
-8.770562,1.726809,-3.776946,Sit
-8.820857,1.657354,-3.810476,Sit
-8.842413,1.657354,-3.757786,Sit
-8.818462,1.683699,-3.69312,Sit
-8.842413,1.686094,-3.676355,Sit
-8.813672,1.659749,-3.68833,Sit
-8.907078,1.669329,-3.745811,Sit
-8.897498,1.705254,-3.812871,Sit
-8.856783,1.762734,-3.776946,Sit
-8.756192,1.772315,-3.741021,Sit
-8.717872,1.786685,-3.724256,Sit
-8.701106,1.753154,-3.786526,Sit
-8.710687,1.717229,-3.798501,Sit
-8.813672,1.750759,-3.714675,Sit
-8.840017,1.757944,-3.733836,Sit
-8.811277,1.736389,-3.767366,Sit
-8.749006,1.729204,-3.776946,Sit
-8.698711,1.726809,-3.820056,Sit
-8.679551,1.736389,-3.882327,Sit
-8.689131,1.777105,-3.851192,Sit
-8.725057,1.79387,-3.72665,Sit
-8.770562,1.781895,-3.70749,Sit
-8.784932,1.777105,-3.796106,Sit
-8.801697,1.81782,-3.779341,Sit
-8.825647,1.834585,-3.717071,Sit
-8.854387,1.858535,-3.7027,Sit
-8.825647,1.853745,-3.793711,Sit
-8.703502,1.801055,-3.846401,Sit
-8.648416,1.743574,-3.834426,Sit
-8.641231,1.736389,-3.776946,Sit
-8.684341,1.760339,-3.815266,Sit
-8.732242,1.757944,-3.894302,Sit
-8.749006,1.741179,-3.889512,Sit
-8.722662,1.714834,-3.829636,Sit
-8.727451,1.731599,-3.805686,Sit
-8.756192,1.767524,-3.788921,Sit
-8.737032,1.80345,-3.817661,Sit
-8.689131,1.80345,-3.810476,Sit
-8.705896,1.77471,-3.791316,Sit
-8.777747,1.760339,-3.764971,Sit
-8.842413,1.757944,-3.760181,Sit
-8.866363,1.722019,-3.800896,Sit
-8.823253,1.695674,-3.772156,Sit
-8.753797,1.664539,-3.757786,Sit
-8.734636,1.714834,-3.767366,Sit
-8.777747,1.748364,-3.736231,Sit
-8.840017,1.743574,-3.764971,Sit
-8.859178,1.719624,-3.784131,Sit
-8.851993,1.722019,-3.748206,Sit
-8.799302,1.745969,-3.757786,Sit
-8.782537,1.743574,-3.764971,Sit
-8.763377,1.724414,-3.839216,Sit
-8.713081,1.717229,-3.858377,Sit
-8.696317,1.724414,-3.810476,Sit
-8.641231,1.714834,-3.832031,Sit
-8.629255,1.748364,-3.851192,Sit
-8.655601,1.757944,-3.851192,Sit
-8.715476,1.777105,-3.829636,Sit
-8.799302,1.834585,-3.757786,Sit
-8.842413,1.839375,-3.731441,Sit
-8.844808,1.78908,-3.724256,Sit
-8.804092,1.686094,-3.748206,Sit
-8.749006,1.666934,-3.767366,Sit
-8.784932,1.750759,-3.690725,Sit
-8.844808,1.81303,-3.681145,Sit
-8.887918,1.86093,-3.752996,Sit
-8.749006,1.86093,-3.741021,Sit
-8.686736,1.85135,-3.736231,Sit
-8.696317,1.853745,-3.72186,Sit
-8.693921,1.904041,-3.712281,Sit
-8.739427,1.896856,-3.762576,Sit
-8.828042,1.911226,-3.772156,Sit
-8.847202,1.88009,-3.767366,Sit
-8.816068,1.8274,-3.784131,Sit
-8.689131,1.791475,-3.762576,Sit
-8.655601,1.753154,-3.741021,Sit
-8.720266,1.77471,-3.784131,Sit
-8.804092,1.825005,-3.786526,Sit
-8.799302,1.825005,-3.760181,Sit
-8.737032,1.80345,-3.757786,Sit
-8.703502,1.79866,-3.779341,Sit
-8.698711,1.81303,-3.767366,Sit
-8.746612,1.83698,-3.731441,Sit
-8.744217,1.829795,-3.743416,Sit
-8.749006,1.820215,-3.757786,Sit
-8.804092,1.85135,-3.717071,Sit
-8.844808,1.853745,-3.690725,Sit
-8.830438,1.848955,-3.69312,Sit
-8.804092,1.78908,-3.709885,Sit
-8.792117,1.767524,-3.70749,Sit
-8.825647,1.750759,-3.66917,Sit
-8.849598,1.736389,-3.676355,Sit
-8.868757,1.767524,-3.695515,Sit
-8.820857,1.757944,-3.72665,Sit
-8.749006,1.733994,-3.731441,Sit
-8.737032,1.757944,-3.717071,Sit
-8.753797,1.834585,-3.724256,Sit
-8.784932,1.863325,-3.743416,Sit
-8.794512,1.88009,-3.709885,Sit
-8.765772,1.877695,-3.748206,Sit
-8.713081,1.81303,-3.760181,Sit
-8.693921,1.781895,-3.788921,Sit
-8.708291,1.781895,-3.791316,Sit
-8.770562,1.78908,-3.743416,Sit
-8.854387,1.829795,-3.741021,Sit
-8.741821,1.81303,-3.757786,Sit
-8.696317,1.791475,-3.750601,Sit
-8.746612,1.762734,-3.738626,Sit
-8.739427,1.745969,-3.769761,Sit
-8.775352,1.791475,-3.764971,Sit
-8.823253,1.83219,-3.724256,Sit
-8.856783,1.834585,-3.69791,Sit
-8.847202,1.848955,-3.68833,Sit
-8.825647,1.863325,-3.68833,Sit
-8.823253,1.87051,-3.705095,Sit
-8.828042,1.858535,-3.69312,Sit
-8.842413,1.84177,-3.7027,Sit
-8.832832,1.8274,-3.738626,Sit
-8.768167,1.80824,-3.772156,Sit
-8.672366,1.791475,-3.834426,Sit
-8.653206,1.786685,-3.846401,Sit
-8.634046,1.762734,-3.872747,Sit
-8.641231,1.81303,-3.915857,Sit
-8.648416,1.853745,-3.918252,Sit
-8.648416,1.906436,-3.889512,Sit
-8.643626,1.916016,-3.839216,Sit
-8.638836,1.887275,-3.820056,Sit
-8.629255,1.83698,-3.846401,Sit
-8.57417,1.731599,-3.848797,Sit
-8.679551,1.743574,-3.764971,Sit
-8.746612,1.772315,-3.788921,Sit
-8.823253,1.81782,-3.741021,Sit
-8.861572,1.810635,-3.712281,Sit
-8.835227,1.80345,-3.690725,Sit
-8.775352,1.7795,-3.681145,Sit
-8.758587,1.791475,-3.65001,Sit
-8.844808,1.80824,-3.66917,Sit
-8.890313,1.79866,-3.666775,Sit
-8.856783,1.815425,-3.65001,Sit
-8.835227,1.829795,-3.62606,Sit
-8.813672,1.801055,-3.65959,Sit
-8.823253,1.796265,-3.65001,Sit
-8.844808,1.791475,-3.606899,Sit
-8.861572,1.765129,-3.606899,Sit
-8.863968,1.80345,-3.62606,Sit
-8.856783,1.796265,-3.62606,Sit
-8.832832,1.810635,-3.633245,Sit
-8.832832,1.83219,-3.633245,Sit
-8.820857,1.805845,-3.64522,Sit
-8.789722,1.810635,-3.685935,Sit
-8.758587,1.81782,-3.690725,Sit
-8.746612,1.84656,-3.685935,Sit
-8.770562,1.84177,-3.65959,Sit
-8.806487,1.85614,-3.66438,Sit
-8.808882,1.829795,-3.681145,Sit
-8.832832,1.81782,-3.66438,Sit
-8.811277,1.805845,-3.661985,Sit
-8.816068,1.80824,-3.69791,Sit
-8.840017,1.79866,-3.681145,Sit
-8.820857,1.81782,-3.66438,Sit
-8.765772,1.825005,-3.705095,Sit
-8.729847,1.81303,-3.72186,Sit
-8.753797,1.79387,-3.724256,Sit
-8.753797,1.765129,-3.714675,Sit
-8.763377,1.76992,-3.717071,Sit
-8.770562,1.796265,-3.709885,Sit
-8.777747,1.810635,-3.700305,Sit
